"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_ui_001","tests","Tue May 26 09:27:56 UTC 2026","broken","Tue May 26 09:27:56 UTC 2026","TestUI","test_ui","",""
"","0","test_cart_004","tests","Tue May 26 09:27:40 UTC 2026","broken","Tue May 26 09:27:40 UTC 2026","TestCart","test_cart","",""
"","0","test_auth_009","tests","Tue May 26 09:27:14 UTC 2026","broken","Tue May 26 09:27:14 UTC 2026","TestAuth","test_auth","",""
"","2389","test_auth_003_004_005_006_007_008[page0-standard_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:27:16 UTC 2026","passed","Tue May 26 09:27:19 UTC 2026","TestAuth","test_auth","",""
"","0","test_ui_007","tests","Tue May 26 09:27:59 UTC 2026","broken","Tue May 26 09:27:59 UTC 2026","TestUI","test_ui","",""
"","0","test_check_006","tests","Tue May 26 09:27:46 UTC 2026","broken","Tue May 26 09:27:46 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","0","test_cart_001","tests","Tue May 26 09:27:39 UTC 2026","broken","Tue May 26 09:27:39 UTC 2026","TestCart","test_cart","",""
"","0","test_auth_003_004_005_006_007_008[False-fake_user-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:27:19 UTC 2026","broken","Tue May 26 09:27:19 UTC 2026","TestAuth","test_auth","",""
"","0","test_auth_010","tests","Tue May 26 09:27:14 UTC 2026","broken","Tue May 26 09:27:14 UTC 2026","TestAuth","test_auth","",""
"","0","test_ui_010","tests","Tue May 26 09:28:01 UTC 2026","broken","Tue May 26 09:28:01 UTC 2026","TestUI","test_ui","",""
"","0","test_auth_001","tests","Tue May 26 09:27:12 UTC 2026","broken","Tue May 26 09:27:12 UTC 2026","TestAuth","test_auth","",""
"","0","test_check_005","tests","Tue May 26 09:27:46 UTC 2026","broken","Tue May 26 09:27:46 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","0","test_auth_002","tests","Tue May 26 09:27:12 UTC 2026","broken","Tue May 26 09:27:12 UTC 2026","TestAuth","test_auth","",""
"","0","test_inv_010","tests","Tue May 26 09:27:56 UTC 2026","broken","Tue May 26 09:27:56 UTC 2026","TestInventory","test_inventory","",""
"","0","test_cart_008","tests","Tue May 26 09:27:42 UTC 2026","broken","Tue May 26 09:27:42 UTC 2026","TestCart","test_cart","",""
"","0","test_check_003","tests","Tue May 26 09:27:44 UTC 2026","broken","Tue May 26 09:27:44 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","2312","test_auth_003_004_005_006_007_008[True-admin' OR 1=1-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:27:25 UTC 2026","passed","Tue May 26 09:27:28 UTC 2026","TestAuth","test_auth","",""
"","0","test_check_008","tests","Tue May 26 09:27:47 UTC 2026","broken","Tue May 26 09:27:47 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","0","test_inv_007","tests","Tue May 26 09:27:54 UTC 2026","broken","Tue May 26 09:27:54 UTC 2026","TestInventory","test_inventory","",""
"","2273","test_auth_003_004_005_006_007_008[True-' OR '1'='1-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:27:28 UTC 2026","passed","Tue May 26 09:27:30 UTC 2026","TestAuth","test_auth","",""
"","0","test_ui_003","tests","Tue May 26 09:27:58 UTC 2026","broken","Tue May 26 09:27:58 UTC 2026","TestUI","test_ui","",""
"","0","test_inv_001","tests","Tue May 26 09:27:51 UTC 2026","broken","Tue May 26 09:27:51 UTC 2026","TestInventory","test_inventory","",""
